Title,Year,Publisher,Topics
Home,Unknown,Unknown,Unknown
"Research

Research Areas
Research Support and Partners
Research Facilities
Media coverage",Unknown,Unknown,Unknown
Research Areas,Unknown,Unknown,Unknown
Research Support and Partners,Unknown,Unknown,Unknown
Research Facilities,Unknown,Unknown,Unknown
Media coverage,Unknown,Unknown,Unknown
"Team

Dr. Bipro R. Dhar
Current Lab Members
Lab Alumni
Group Activities",Unknown,Unknown,Unknown
Dr. Bipro R. Dhar,Unknown,Unknown,Unknown
Current Lab Members,Unknown,Unknown,Unknown
Lab Alumni,Unknown,Unknown,Unknown
Group Activities,Unknown,Unknown,Unknown
Publications,Unknown,Unknown,Unknown
Teaching,Unknown,Unknown,Unknown
News,Unknown,Unknown,Unknown
Contact,Unknown,Unknown,Unknown
Member Area,Unknown,Unknown,Unknown
"Alam, M.; Dhillon, S.K.; Ismail, S.; Dhar, B.R. (2024). Biochar and Granular Activated Carbon Mitigate Polystyrene Nanoplastics Inhibition in Dark Biohydrogen Fermentation of Sludge, submitted.",Unknown,Unknown,Unknown
"Saila, R.; Dhar, B.R. (2024). Effects of Aging of Polyethylene Microplastics and Polystyrene Nanoplastics on Antibiotic Resistance Gene Transfer During Primary Sludge Fermentation, submitted.",Unknown,Unknown,Unknown
"Tatla, H.K.; Niknejad, P.; Ismail, S.; Khan, M.A.; Gupta, R.; Dhar, B.R. (2024). A Comprehensive Assessment of Integrating Anaerobic Digestion and Hydrothermal Liquefaction Processes: Harnessing Energy from Sewage Sludge, submitted.",Unknown,Unknown,Unknown
"Alam, M.; Mostafa, A.; Dhar, B.R. (2024). Impact of petroleum versus bio-based nano/microplastics on fermentative biohydrogen production from sludge, submitted.",Unknown,Unknown,Unknown
"Chung, T.H.; Dhillon, S.K.; Shin, C.; Pant, D.; Dhar, B.R. (2024). Microbial electrosynthesis system for CO2 mitigation, biomethane production, and ex-situ biogas upgrading, submitted.",Unknown,Unknown,Unknown
"Niknejad, P.; Mirsoleimani-Azizi, S.M.; Gupta, R.; Dhar, B.R. (2023). Unveiling the Impact of Bioplastic Bags on High-Solids Anaerobic Digestion and Subsequent Hydrothermal Liquefaction of Source Separated Organics, submitted.",Unknown,Unknown,Unknown
"Chung, T.H.; Rahman, A.; Chakrabarty, A.A.; Zakaria, B.S.; Khondoker, M.A.H.; Dhar, B.R. (2024). 3D printed cathodes for microbial electrolysis cell-assisted anaerobic digester: Evaluation of performance, resilience, and fluid dynamics, Journal of Power Sources, in press.",Unknown,Unknown,Unknown
"Huang, Q.; Liu, Y.; Dhar, B.R. (2023). Deciphering the microbial interactions and metabolic shift at different COD/sulfate ratios in electro-assisted anaerobic digestion, Journal of Hazardous Materials, in press.",Unknown,Unknown,Unknown
"Chung, T.H.; Dhillon, S.K.; Zakaria, B.S.; Meshref, M.; Dhar, B.R. (2024). Detecting naphthenic acids in oil sands process water with microbial electrochemical sensor: Impact of inoculum sources and quorum sensing autoinducer, Sensors and Actuators B: Chemical, in press.",Unknown,Unknown,Unknown
"Saila, R.; Mirsoleimani-Azizi, S.M.; Zakaria, B.S.; Mostafa, A.; Dhar, B.R. (2024). Impact of polystyrene nanoplastics on primary sludge fermentation under acidic and alkaline conditions: Significance of antibiotic resistance genes, Chemosphere, in press.",Unknown,Unknown,Unknown
"Haffiez, N.; Kalantar, E.; Zakaria, B.S.; Mirsoleimani-Azizi, S.M.; Farner, J.M.; Dhar, B.R. (2024). Impact of Aging of Primary and Secondary Polystyrene Nanoplastics on the Transmission of Antibiotic Resistance Genes in Anaerobic Digestion, Science of the Total Environment, in press.",Unknown,Unknown,Unknown
"Hamze, A.; Zakaria, B.S.; Zaghloul, M.S.; Dhar, B.R.; Elbeshbishy, E. (2023). Comprehensive hydrothermal pretreatment of municipal sewage sludge: A
systematic approach, Journal of Environmental Management, in press.",Unknown,Unknown,Unknown
"Tatla, H.K.; Ismail, S.; Khan, M.A.; Dhar, B.R.; Gupta, R. (2024). Coupling Hydrothermal Liquefaction and Anaerobic Digestion for Waste Biomass Valorization: A Review in Context of Circular Economy, Chemosphere, in press.",Unknown,Unknown,Unknown
"Mirsoleimani-Azizi, S.M.; Haffiez, N.; Mostafa, A.; Hussain, A.; Abdallah, M.; Al-Mamun, A.; Bhatnagar, A.; Dhar, B.R. (2024). Low- and High-Temperature Thermal Hydrolysis Pretreatment for Anaerobic Digestion of Sludge: A Critical Review of Process Performance, Existing Challenges, and Fate of Emerging Pollutants, Renewable and Sustainable Energy Reviews, in press.",Unknown,Unknown,Unknown
"Mirsoleimani-Azizi, S.M.; Dhar, B.R. (2023). Can low-temperature thermal hydrolysis mitigate the oxidative stress of polystyrene nanoplastics on anaerobic digestion? Chemosphere, in press.",Unknown,Unknown,Unknown
"Deng, L.; Zakaria, B.S.; Zhang, J.; Dhar, B.R. (2023). Utilizing Eggshells as a Calcium Precursor for Contact Precipitation of Phosphorus from Digested Sludge Centrate, Science of the Total Environment, in press.",Unknown,Unknown,Unknown
"Mirsoleimani-Azizi, S.M.; Zakaria, B.S.; Dhar, B.R. (2023). Low-Temperature Thermal Hydrolysis for Enhancing Sludge Anaerobic Digestion and Antibiotic Resistance Management: Significance of Digester Solids Retention Time, Science of the Total Environment, in press.",Unknown,Unknown,Unknown
"Wicker, R.J.; Daneshvar, E.; Patel, A.K.; Dhar, B.R.; Bhatnagar, A. (2023). Production of methane, biohydrogen, and volatile fatty acids from Nordic phytoplankton biomass grown in blended wastewater, Chemical Engineering Journal, in press.",Unknown,Unknown,Unknown
"Alam, M.; Dhar, B.R. (2023). Boosting thermophilic anaerobic digestion with conductive additives: a state-of-the-art review of prospects and key challenges, Chemosphere, in press.",Unknown,Unknown,Unknown
"Zakaria, B.S.; Mirsoleimani-Azizi, S.M.; Hai, F.I.; Pramanik, B.K.; Dhar, B.R. (2023). Responses of syntrophic microbial communities and their interactions with polystyrene nanoplastics in a microbial electrolysis cell, Science of the Total Environment, in press.",Unknown,Unknown,Unknown
"Mirsoleimani-Azizi, S.M.; Zakaria, B.S.; Haffiez, N.; Kumar, A.; Dhar, B.R. (2023). Pilot-scale investigation of conductive carbon cloth amendment for enhancing high-solids anaerobic digestion and mitigating antibiotic resistance, Bioresource Technology, in press.",Unknown,Unknown,Unknown
"Mirsoleimani-Azizi, S.M.; Zakaria, B.S.; Haffiez, N.; Niknejad, P.; Maal-Bared, R.; Molla, S.; Dhar, B.R. (2023). Bench-scale liquid-phase microaeration and iron dosing comparison for in-situ biogas desulfurization and antibiotic resistance management in mesophilic anaerobic digestion, ACS ES&T Water, in press.",Unknown,Unknown,Unknown
"Monira, S; Roychand, R.; Hai, F.I.; Bhuyian, M.; Dhar, B.R.; Pramanik, B.K. (2023). Nano and microplastics occurrence in wastewater treatment plants: A comprehensive understanding of microplastics fragmentation and their removal, Chemosphere, 139011.",Unknown,Unknown,Unknown
"Huang, Q.; Liu, Y.; Dhar, B.R. (2023). Boosting resilience of microbial electrolysis cell-assisted anaerobic digestion of blackwater with granular activated carbon amendment, Bioresource Technology, 129136.",Unknown,Unknown,Unknown
"Haffiez, N.; Zakaria, B.S.; Mirsoleimani-Azizi, S.M.; Dhar, B.R. (2023). Antibiotic resistance genes proliferation under anaerobic degradation of polylactic acid and polyhydroxy butyrate bioplastics, Environment International, 175, 107938.",Unknown,Unknown,Unknown
"Deng, L.; Dhar, B.R. (2023). Phosphorus recovery from wastewater via calcium phosphate precipitation: a critical review of methods, progress, and insights, Chemosphere, in press.",Unknown,Unknown,Unknown
"Mirsoleimani-Azizi, S.M.; Zakaria, B.S.; Haffiez, N.; Dhar, B.R. (2023). Sludge thermal hydrolysis for mitigating oxidative stress of polystyrene nanoplastics and antibiotic resistance propagation in anaerobic digestion: significance of solids content, ACS Sustainable Chemistry & Engineering, 11, 18, 7253–7262.",Unknown,Unknown,Unknown
"Niknejad, P.; Mirsoleimani-Azizi, S.M.; Hillier, K.; Gupta, R.; Dhar, B.R. (2023). Biodegradability and transformation of biodegradable disposables in high-solids anaerobic digestion followed by hydrothermal liquefaction, Resources, Conservation & Recycling, 193, 106979.",Unknown,Unknown,Unknown
"Mirsoleimani-Azizi, S.M.; Zakaria, B.S.; Haffiez, N.; Dhar, B.R. (2023). Granular activated carbon remediates antibiotic resistance propagation and methanogenic inhibition induced by polystyrene nanoplastics in sludge anaerobic digestion, Bioresource Technology,377, 128938.",Unknown,Unknown,Unknown
"Chung, T.H.; Shahidi, M.; Mezbahuddin, S.; Dhar, B.R. (2023). Ensemble machine learning approach for examining critical process parameters and scale-up opportunities of microbial electrochemical systems for hydrogen peroxide production, Chemosphere 138313.",Unknown,Unknown,Unknown
"Singh, V.; Omerci, B.; Radadiya, P.; Dhar, B.R.; Sangal, A.; Hussain, A. (2023). Leach bed reactors for production of short-chain fatty acids: A review of critical operating parameters, current limitations and challenges, and prospects, Chemical Engineering Journal, 141044.",Unknown,Unknown,Unknown
"Allam, N.E.; Zakaria, B.S.; Kuznetsov, P.V.; Dhar, B.R.; Ulrich, A.C. (2023). Mitigating Methane Emission from Oil Sands Tailings Using Enzymatic and Lime Treatment, Chemosphere, 313, 137455.",Unknown,Unknown,Unknown
"Mirsoleimani-Azizi, S.M.; Zakaria, B.S.; Haffiez, N.; Niknejad, P.; Dhar, B.R. (2023). A critical review of prospects and operational challenges of microaeration and iron dosing for in-situ biogas desulfurization, Bioresource Technology Reports,20, 101265.",Unknown,Unknown,Unknown
"Haffiez, N.; Zakaria, B.S.; Mirsoleimani-Azizi, S.M.; Dhar, B.R. (2023). Fate of intracellular, extracellular polymeric substances-associated, and cell-free antibiotic resistance genes in anaerobic digestion of thermally hydrolyzed sludge, Science of the Total Environment, 855, 158847.",Unknown,Unknown,Unknown
"Huang, Q.; Liu, Y.; Dhar, B.R. (2022). A multifaceted screening of applied voltages for electro-assisted anaerobic digestion of blackwater: significance of temperature, hydrolysis/acidogenesis, electrode corrosion, and energy efficiencies, Bioresource Technology, 360, 127533.",Unknown,Unknown,Unknown
"de Albuquerque, F.P.; Dastyar, W.; Mirsoleimani-Azizi, S.M.; Zakaria, B.S.; Kumar, A.; Dhar, B.R. (2022). Carbon cloth amendment for boosting high-solids anaerobic digestion with percolate recirculation: Spatial patterns of microbial communities, Chemosphere, 307(1), 135606.",Unknown,Unknown,Unknown
"Haffiez, N.; Chung, T.H.; Zakaria, B.S.; Shahidi, M.; Mezbahuddin, S.; Maal-Bared, R.; Dhar, B.R. (2022). Exploration of machine learning algorithms for predicting the changes in abundance of antibiotic resistance genes in anaerobic digestion, Science of the Total Environment, 839, 156211.",Unknown,Unknown,Unknown
"Haffiez, N.; Chung, T.H.; Zakaria, B.S.; Shahidi, M.; Mezbahuddin, S.; Hai. F.I.; Dhar, B.R. (2022). A critical review of process parameters influencing the fate of antibiotic resistance genes in the anaerobic digestion of organic waste, Bioresource Technology, 354, 127189.",Unknown,Unknown,Unknown
"Haffiez, N.; Mirsoleimani-Azizi, S.M.; Zakaria, B.S.; Dhar, B.R. (2022). Propagation of antibiotic resistance genes during anaerobic digestion of thermally hydrolyzed sludge and their correlation with extracellular polymeric substances, Scientific Reports, 12(1), 1-13.",Unknown,Unknown,Unknown
"Chung, T.H.; Zakaria, B.S.; Meshref, M.; Dhar, B.R. (2022). Enhancing quorum sensing in biofilm anode to improve biosensing of naphthenic acids, Biosensors and Bioelectronics, 210, 114275.",Unknown,Unknown,Unknown
"Zakaria, B.S.; Dhar, B.R. (2022). A critical review of stand-alone and hybrid microbial electrochemical systems for antibiotics removal from wastewater, Processes, 10 (4), 714.",Unknown,Unknown,Unknown
"Zakaria, B.S.; Dhar, B.R. (2022). Intermittent energization catalyzes direct interspecies electron transfer in electro-anaerobic digestion of sewage sludge, Chemical Engineering Journal, 136177.",Unknown,Unknown,Unknown
"Zakaria, B.S.; Guo, H.; Kim, Y.; Dhar, B.R. (2022). Molecular biology and modeling analysis reveal functional roles of propionate to acetate ratios on microbial syntrophy and competition in electro-assisted anaerobic digestion, Water Research, 118335.",Unknown,Unknown,Unknown
"Bose, R.S.; Zakaria, B.S.; Dhar, B.R., Tiwari, M.K. (2022). Effect of salinity and surfactant on volatile fatty acids production from kitchen wastewater fermentation, Bioresource Technology Reports, 101017.",Unknown,Unknown,Unknown
"Mirsoleimani-Azizi, S.M.; Haffiez, N.; Zakaria, B.S.; Dhar, B.R. (2022). Thermal hydrolysis of sludge counteracts polystyrene nanoplastics-induced stress during anaerobic digestion, ACS ES&T Engineering, 2 (7), 1306-1315.",Unknown,Unknown,Unknown
"Allam, N.E.; Anwar, M.N., Kuznetsov, P.V.; Ulrich, A.C.; Dhar, B.R. (2022). Enzyme-assisted dewatering of oil sands tailings: significance of water chemistry and biological activity, Chemical Engineering Journal, 135162.",Unknown,Unknown,Unknown
"Chung, T.H.; Dhar, B.R. (2021). A multi-perspective review on microbial electrochemical technologies for food waste valorization, Bioresource Technology, 342, 125950.",Unknown,Unknown,Unknown
"Ahmed, N.; Dhar, B.R., Pramanik, B.K.; Forehead, H.; Price, W.E.; Hai, F. I. (2021). A Cookbook for Bioethanol from Macroalgae: Review of Selecting and Combining Processes to Enhance Bioethanol Production, Current Pollution Reports, 1-18.",Unknown,Unknown,Unknown
"Meshref, M.;  Mirsoleimani-Azizi, S.M.; Dastyar, W.; Maal-Bared, R.; Dhar, B.R. (2021). Low-temperature thermal hydrolysis of sludge prior to sludge anaerobic digestion: principal component analysis (PCA) of experimental data, Data in Brief, 107323.",Unknown,Unknown,Unknown
"Bose, R.S.; Chowdhury, B.; Zakaria, B.S.; Tiwari, M.K.; Dhar, B.R. (2021). Significance of different mixing conditions on performance and microbial communities in anaerobic digester amended with granular and powdered activated carbon, Bioresource Technology, 125768.",Unknown,Unknown,Unknown
"Chung, T.H.; Dhar, B.R. (2021). Paper-based platforms for microbial electrochemical cell-based biosensors: a review, Biosensors and Bioelectronics, 113485.",Unknown,Unknown,Unknown
"Dastyar, W.; Mirsoleimani-Azizi, S.M.; Dhadwal, M.; Dhar, B.R. (2021). High-solids anaerobic digestion of organic fraction of municipal solid waste: effects of feedstock to inoculum ratio and percolate recirculation time, Bioresource Technology, 125335.",Unknown,Unknown,Unknown
"Mirsoleimani-Azizi, S.M.; Dastyar, W.; Meshref, M.;  Maal-Bared, R.; Dhar, B.R. (2021). Low-temperature thermal hydrolysis for anaerobic digestion facility in wastewater treatment plant with primary sludge fermentation, Chemical Engineering Journal, 130485.",Unknown,Unknown,Unknown
"Chung, T.H.; Dhar, B.R. (2021). A mini-review on applications of 3D printing for microbial electrochemical technologies, Frontiers in Energy Research,9, 222.",Unknown,Unknown,Unknown
"Dastyar, W.; Mirsoleimani-Azizi, S.M.; Meshref, M.; Dhar, B.R. (2021). Powdered activated carbon amendment in percolate tank enhances high-solids anaerobic digestion of organic fraction of municipal solid waste, Process Safety and Environmental Protection,151, 63-70.",Unknown,Unknown,Unknown
"Zakaria, B.S.; Dhar, B.R. (2021). Characterization and significance of extracellular polymeric substances, reactive oxygen species, and extracellular electron transfer in methanogenic biocathode, Scientific Reports, 11, 7933.",Unknown,Unknown,Unknown
"Bose, R.S.; Zakaria, B.S.; Tiwari, M.K.; Dhar, B.R. (2021). High-rate blackwater anaerobic digestion under septic tank conditions with the amendment of biosolids-derived biochar synthesized at different temperatures, Bioresource Technology, 331, 125052.",Unknown,Unknown,Unknown
"Huang, Q.; Liu, Y.; Dhar, B.R.  (2021). Pushing the organic loading rate in electrochemically assisted anaerobic digestion of blackwater at ambient temperature: Insights into microbial community dynamics, Science of the Total Environment, 781, 146694.",Unknown,Unknown,Unknown
"Allam, N.E.; Romaniuk, N.; Tate, M.; Meshref, M.; Dhar, B.R.; Ulrich, A. (2021). Impact of lime treatment on tailings dewatering and cap water quality under an oil sands end pit lake scenario, Science of the Total Environment, 781, 146699.",Unknown,Unknown,Unknown
"Chung, T.H.; Meshref, M.; Dhar, B.R. (2021). A review and roadmap for developing microbial electrochemical cell-based biosensors for recalcitrant environmental contaminants, emphasis on aromatic compounds, Chemical Engineering Journal, in press.",Unknown,Unknown,Unknown
"Mirsoleimani-Azizi, S.M.; Hai, F.I.; Lu, W.; Al-Mamun, A., Dhar, B.R. (2021). A review of mechanisms underlying the impacts of (nano)microplastics on anaerobic digestion, Bioresource Technology, 329, 124894.",Unknown,Unknown,Unknown
"Hosseini Koupaie, H.; Lin, L.; Azizi, A.; Bazyar Lakeh, A.A.; Dhar, B.R., Hafez, H., Elbeshbishy, E. (2021). Performance evaluation and microbial community analysis of mesophilic and thermophilic sludge fermentation processes coupled with thermal hydrolysis, Renewable & Sustainable Energy Reviews, 141, 110832.",Unknown,Unknown,Unknown
"Dhadwal, M.; Liu, Y.; Dhar, B.R.  (2021). Coupling microbial electrolysis cell and activated carbon biofilter for source-separated greywater treatment, Processes, 9(2), 281.",Unknown,Unknown,Unknown
"de Albuquerque, F.P.; Dhadwal, M.; Dastyar, W.; Mirsoleimani-Azizi, S.M.; Karidio, I.; Zaman, H.; Dhar, B.R. (2021). Fate of disposable face masks in high-solids anaerobic digestion: experimental observations and review of potential environmental implications, Case Studies in Chemical and Environmental Engineering, 100082.",Unknown,Unknown,Unknown
"Fida, Z., Price, W.E., Pramanik, B.K., Dhar, B.R., Kumar, M., Jiang, G.; Hai, F.I. (2021). Impact of sludge interchange rate on sludge yield reduction by membrane bioreactor coupled with anoxic sidestream reactors, Journal of Environmental Management, 281, 111919.",Unknown,Unknown,Unknown
"Huang, Q.; Zakaria, B.S.; Zhang, L.; Zhang, Y.; Liu, Y.; Dhar, B.R. (2021). A high-rate anaerobic biofilm reactor for biomethane recovery from source-separated blackwater at ambient temperature, Water Environment Research, 93(1), 61-74.",Unknown,Unknown,Unknown
"Rahman, S.; Jafary, T.; Al-Mamun, A.; Baawain, M.; Saif, H.K.; Choudhury , M.R.; Alhaimali, H.; Siddiqi, S.; Dhar, B.R.; Sana, A., Lam, S. S.; Aghbashlo , M.; Tabatabaei, M. (2021). Towards Upscaling Microbial Desalination Cell Technology: A Comprehensive Review on Current Challenges and Future Prospects, Journal of Cleaner Production 288,125597.",Unknown,Unknown,Unknown
"Zhou, P.; Meshref, M.; Dhar, B.R.(2021). Optimization of thermal hydrolysis process for enhancing anaerobic digestion in a wastewater treatment plant with existing primary sludge fermentation, Bioresource Technology 321, 124498.",Unknown,Unknown,Unknown
"Zakaria, B.S.; Dhar, B.R. (2021). An intermittent power supply scheme to minimize electrical energy input in a microbial electrolysis cell assisted anaerobic digester, Bioresource Technology 319, 124109.",Unknown,Unknown,Unknown
"Ting, H.N.J.; Lin, L.; Cruz, R.B.; Chowdhury, B.; Karidio, I.; Zaman, H.; Dhar, B.R. (2020). Transitions of microbial communities in the solid and liquid phases during high-solids anaerobic digestion of organic fraction of municipal solid waste, Bioresource Technology 317, 123951.",Unknown,Unknown,Unknown
"Chung, T.H.; Meshref, M.; Hai, F.I.; Al-Mamun, A.; Dhar, B.R. (2020). Microbial electrochemical systems for hydrogen peroxide synthesis: Critical review of process optimization, prospective environmental applications, and challenges, Bioresource Technology 313, 123727.",Unknown,Unknown,Unknown
"Chung, T.H.; Meshref, M.; Dhar, B.R. (2020). Microbial electrochemical biosensor for rapid detection of a naphthenic acid model compound in water samples,  Journal of Electroanalytical Chemistry 873, 114405.",Unknown,Unknown,Unknown
"Huang, Q.; Liu, Y.; Dhar, B.R.  (2020). A critical performance review of microbial electrolysis cells coupled with anaerobic digester for enhanced biomethane recovery from high-strength feedstocks, Critical Reviews in Environmental Science and Technology, 1-40.",Unknown,Unknown,Unknown
"Chowdhury, B.; Magsi, S.B.; Ting, H.N.J.; Dhar, B.R. (2020). High-solids anaerobic digestion followed by ultrasonication of digestate and wet-type anaerobic digestion for enhancing methane yield from OFMSW, Processes 8(5), 555.",Unknown,Unknown,Unknown
"Zakaria, B.S.; Dhar, B.R. (2020). Changes in syntrophic microbial communities, EPS matrix, and gene-expression patterns in biofilm anode in response to silver nanoparticles exposure, Science of the Total Environment 734, 139395.",Unknown,Unknown,Unknown
"Jafary, T.; Al-Mamun, A.; Saif, H.K.; Baawain, M.; Rahman, S.; Rahman, S.; Dhar, B.R.; Aghbashlo, M.; Tabatabaei, M. (2020). Enhanced power generation and desalination rate in a novel quadruple microbial desalination cell with a single desalination chamber, Renewable & Sustainable Energy Reviews, 127, 109855..",Unknown,Unknown,Unknown
"Al-Mamun, A.; Jafary, T.; Saif, H.K.; Baawain, M.; Rahman, S.; Tarpeh, W.; Dhar, B.R.; Kim, B. (2020). Novel two-chamber tubular microbial desalination cell for bioelectricity production, wastewater treatment and desalination with a focus on self-generated pH control, Desalination, 481, 114358.",Unknown,Unknown,Unknown
"Ryue, J.; Lin, L.; Kakar, F.L., Elbeshbishy, E.; Al-Mamun, A.; Dhar, B.R. (2020). A critical review of conventional and emerging methods for improving process stability in thermophilic anaerobic digestion, Energy for Sustainable Development 54, 72-84.",Unknown,Unknown,Unknown
"Lin, L.; Chowdhury, B.; Zakaria, B.S.; Dhar, B.R. (2020). Temperature-dependent (20-55°C) electrocatalytic characteristics during ethanol/propionate degradation by methanogenic communities grown on conductive carbon fibers, Chemical Engineering Journal 391, 123566.",Unknown,Unknown,Unknown
"Lin, L.; Zakaria, B.S.; Hosseini Koupaie, H.; Bazyar Lakeh, A.A.; Hafez, H., Elbeshbishy, E.; Dhar, B.R. (2019). Evaluation of sludge liquors from acidogenic fermentation and thermal hydrolysis process as substrate for microbial electrolysis cells, International Journal of Hydrogen Energy 44 (57), 30031-30038.",Unknown,Unknown,Unknown
"Chowdhury, B.; Lin, L.; Dhar, B.R., Islam, M.N.; McCartney, D.; Kumar, A. (2019). Enhanced biomethane recovery from fat, oil and grease through co-digestion with food waste and addition of conductive materials, Chemosphere 236, 124362.",Unknown,Unknown,Unknown
"Zakaria, B.S.; Dhar, B.R. (2019). Progress towards catalyzing electro-methanogenesis in anaerobic digestion process: fundamentals, process optimization, design and scale-up consideration, Bioresource Technology 121738.",Unknown,Unknown,Unknown
"Zakaria, B.S.; L., Lin; Dhar, B.R. (2019). Shift of biofilm and suspended bacterial communities with changes in anode potential in a microbial electrolysis cell treating primary sludge, Science of the Total Environment 689, 691–699.",Unknown,Unknown,Unknown
"Barua, S.; Zakaria, B.S.; L., Lin; Dhar, B.R. (2019). Magnetite doped granular activated carbon as an additive for high-performance anaerobic digestion, Materials Science for Energy Technologies 2, 377-384.",Unknown,Unknown,Unknown
"Lin, L.; Hosseini Koupaie, E.; Azizi A.; Bazyar Lakeh A.A., Dhar, B.R.; Hafez, H.; Elbeshbishy, E. (2019).  Comparison of two process schemes combining hydrothermal treatment and acidogenic fermentation of source separated organics, Molecules 24 (8), 1466.",Unknown,Unknown,Unknown
"Ryue, J.; Lin, L.; Liu, Y.; Lu, W.; McCartney, D.; Dhar, B.R. (2019). Comparative Effects of GAC Addition on Methane Productivity and Microbial Community in Mesophilic and Thermophilic Anaerobic Digestion of Food Waste, Biochemical Engineering Journal 146, 79-87.",Unknown,Unknown,Unknown
